player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Ha Ha Clinton-Dix,/players/C/ClinHa00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Marwin Evans,/players/E/EvanMa00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Kyler Fackrell,/players/F/FackKy00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Davon House,/players/H/HousDa00.htm,4,0,2,0,0,0,0,0,0,0,0,0
Josh Jones,/players/J/JoneJo06.htm,2,0,0,0,0,0,0,0,1,0,0,0
Kevin King,/players/K/KingKe01.htm,0,0,0,0,2,0,0,0,0,0,0,0
Blake Martinez,/players/M/MartBl01.htm,1,1,0,0,0,0,0,0,0,0,0,0
Damarious Randall,/players/R/RandDa00.htm,3,0,0,0,0,0,0,0,0,0,0,0
Jermaine Whitehead,/players/W/WhitJe02.htm,0,0,0,0,0,0,1,0,0,0,0,0
Adrian Amos,/players/A/AmosAd00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Leonard Floyd,/players/F/FloyLe00.htm,2,0,0,0,0,0,0,0,0,0,0,0
Kyle Fuller,/players/F/FullKy00.htm,3,2,0,0,0,0,1,0,0,0,0,0
Eddie Jackson,/players/J/JackEd01.htm,1,0,0,0,1,0,0,0,0,0,0,0
Christian Jones,/players/J/JoneCh05.htm,1,0,0,0,1,0,1,0,0,0,0,0
Nick Kwiatkoski,/players/K/KwiaNi00.htm,1,0,1,0,1,0,0,0,0,0,0,0
Cre'von LeBlanc,/players/L/LeBlCr01.htm,0,0,1,0,0,0,0,0,0,0,0,0
