player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Johnson Bademosi,/players/B/BadeJo00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Malcolm Butler,/players/B/ButlMa01.htm,0,0,2,0,0,0,0,1,0,0,0,0
Patrick Chung,/players/C/ChunPa99.htm,1,0,0,0,3,0,0,0,0,0,1,0
Marquis Flowers,/players/F/FlowMa00.htm,2,0,1,0,1,0,0,0,0,0,0,0
Stephon Gilmore,/players/G/GilmSt00.htm,2,0,1,0,1,0,0,1,0,0,0,0
Lawrence Guy,/players/G/GuyxLa00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Duron Harmon,/players/H/HarmDu00.htm,0,0,0,0,1,0,0,0,0,0,0,0
David Harris,/players/H/HarrDa99.htm,1,0,0,0,0,0,0,0,0,0,0,0
Jonathan Jones,/players/J/JoneJo03.htm,1,1,0,0,2,0,0,0,0,0,0,0
Trevor Reilly,/players/R/ReilTr00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Elandon Roberts,/players/R/RobeEl00.htm,1,1,0,0,0,0,0,0,0,0,0,0
Deatrich Wise Jr.,/players/W/WiseDe00.htm,0,0,0,0,1,0,0,0,0,0,0,0
NaVorro Bowman,/players/B/BowmNa99.htm,1,0,2,0,1,0,0,0,0,0,0,0
T.J. Carrie,/players/C/CarrTr00.htm,0,0,2,0,2,0,0,0,1,0,0,0
Bruce Irvin,/players/I/IrviBr00.htm,0,0,1,0,1,0,0,0,0,0,0,0
Cory James,/players/J/JameCo00.htm,2,0,3,0,0,0,0,0,0,0,0,0
Karl Joseph,/players/J/JoseKa00.htm,2,0,0,0,1,0,0,0,0,0,0,0
Shalom Luani,/players/L/LuanSh00.htm,2,0,0,0,0,0,0,0,0,0,0,0
Obi Melifonwu,/players/M/MeliOb00.htm,3,0,0,0,0,0,0,0,0,0,0,0
Nicholas Morrow,/players/M/MorrNi00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Reggie Nelson,/players/N/NelsRe99.htm,1,0,1,0,1,0,0,0,0,0,0,0
Sean Smith,/players/S/SmitSe99.htm,0,0,0,0,3,1,0,0,0,0,0,0
