player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Kiko Alonso,/players/A/AlonKi00.htm,2,0,2,0,1,0,0,0,0,0,0,0
Stephone Anthony,/players/A/AnthSt00.htm,1,0,0,0,1,0,0,0,0,0,0,0
Xavien Howard,/players/H/HowaXa00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Reshad Jones,/players/J/JoneRe99.htm,0,0,2,0,0,0,0,0,0,0,0,0
Bobby McCain,/players/M/McCaBo01.htm,0,0,1,0,1,0,0,0,0,0,0,0
T.J. McDonald,/players/M/McDoTJ00.htm,1,0,1,0,0,1,2,0,0,0,0,0
Ndamukong Suh,/players/S/SuhxNd99.htm,0,0,0,0,1,0,0,0,0,0,0,0
Lorenzo Alexander,/players/A/AlexLo99.htm,1,0,0,0,1,0,0,0,0,0,0,0
Preston Brown,/players/B/BrowPr00.htm,4,0,1,0,1,0,0,0,0,0,0,0
Ryan Davis,/players/D/DaviRy00.htm,1,0,0,0,1,0,0,0,0,0,0,0
E.J. Gaines,/players/G/GainE.00.htm,0,0,1,0,1,1,0,0,0,0,0,0
Jerry Hughes,/players/H/HughJe99.htm,0,0,0,0,1,0,0,0,0,0,0,0
Ramon Humber,/players/H/HumbRa00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Micah Hyde,/players/H/HydeMi00.htm,1,1,1,0,0,0,0,0,0,0,0,0
Leonard Johnson,/players/J/JohnLe03.htm,2,0,2,0,2,1,0,0,1,0,0,0
Matt Milano,/players/M/MilaMa00.htm,0,0,0,0,2,0,0,0,0,0,0,0
Jordan Poyer,/players/P/PoyeJo00.htm,2,0,1,1,1,0,0,0,0,0,0,0
Cedric Thornton,/players/T/ThorCe00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Adolphus Washington,/players/W/WashAd00.htm,0,0,0,0,1,0,0,0,0,0,0,0
TreDavious White,/players/W/WhitTr01.htm,3,0,0,1,0,0,1,1,0,0,0,0
