player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Anthony Brown,/players/B/BrowAn02.htm,1,0,0,0,0,0,0,0,0,0,0,0
Taco Charlton,/players/C/CharTa00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Maliek Collins,/players/C/CollMa00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Kavon Frazier,/players/F/FrazKa00.htm,0,0,0,0,0,0,1,0,0,0,0,0
Jeff Heath,/players/H/HeatJe00.htm,1,0,0,0,2,0,0,0,1,0,0,0
Byron Jones,/players/J/JoneBy00.htm,1,0,2,1,1,1,0,0,0,0,0,0
Sean Lee,/players/L/LeexSe99.htm,0,0,1,0,1,0,0,0,0,0,0,0
Jourdan Lewis,/players/L/LewiJo01.htm,0,0,0,0,5,0,0,0,0,0,0,0
Orlando Scandrick,/players/S/ScanOr99.htm,0,0,0,0,0,0,0,0,0,0,2,0
Jaylon Smith,/players/S/SmitJa05.htm,1,0,1,0,1,0,0,0,0,0,0,0
Damien Wilson,/players/W/WilsDa02.htm,0,0,1,0,0,0,0,0,0,0,0,0
Xavier Woods,/players/W/WoodXa00.htm,1,1,0,0,2,0,0,0,0,0,0,0
Antoine Bethea,/players/B/BethAn20.htm,0,0,1,0,0,0,0,0,0,0,0,0
Tyvon Branch,/players/B/BranTy99.htm,2,0,1,0,1,0,1,0,0,0,0,0
Karlos Dansby,/players/D/DansKa20.htm,0,0,0,0,1,0,0,0,0,0,0,0
Tyrann Mathieu,/players/M/MathTy00.htm,1,0,1,0,0,0,1,0,0,0,0,0
