player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Adrian Amos,/players/A/AmosAd00.htm,2,0,3,0,0,0,0,0,1,0,0,0
Marcus Cooper,/players/C/CoopMa00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Kyle Fuller,/players/F/FullKy00.htm,2,0,0,0,1,0,1,0,0,0,0,0
John Timu,/players/T/TimuJo00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Danny Trevathan,/players/T/TrevDa00.htm,0,0,2,0,1,0,0,0,0,0,0,0
Kentrell Brice,/players/B/BricKe00.htm,1,0,2,0,0,0,0,0,0,0,0,0
Morgan Burnett,/players/B/BurnMo99.htm,0,0,2,0,0,0,0,0,0,0,0,0
Ha Ha Clinton-Dix,/players/C/ClinHa00.htm,0,0,3,0,2,0,0,0,1,0,0,0
Josh Hawkins,/players/H/HawkJo00.htm,2,1,3,1,0,0,0,1,0,0,0,0
Josh Jones,/players/J/JoneJo06.htm,0,0,1,0,0,0,0,0,0,0,0,0
Kevin King,/players/K/KingKe01.htm,0,0,0,0,1,0,0,0,0,0,0,0
Blake Martinez,/players/M/MartBl01.htm,0,0,1,0,0,0,0,0,0,0,0,0
Damarious Randall,/players/R/RandDa00.htm,1,0,2,0,0,0,0,0,0,0,0,0
