player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Allen Bailey,/players/B/BailAl00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Dee Ford,/players/F/FordDe00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Phillip Gaines,/players/G/GainPh00.htm,1,1,1,0,2,0,0,1,0,0,0,0
Derrick Johnson,/players/J/JohnDe25.htm,0,0,1,0,2,1,0,0,0,0,0,0
Chris Jones,/players/J/JoneCh09.htm,0,0,1,1,0,0,0,0,0,0,0,0
Terrance Mitchell,/players/M/MitcTe00.htm,0,0,1,0,5,1,0,0,0,0,1,0
Eric Murray,/players/M/MurrEr00.htm,1,0,1,0,1,1,0,0,0,0,1,0
Ron Parker,/players/P/ParkRo01.htm,1,0,0,0,1,0,0,0,1,0,0,0
Marcus Peters,/players/P/PeteMa00.htm,2,0,0,0,0,0,0,0,0,0,0,0
Daniel Sorensen,/players/S/SoreDa01.htm,3,0,1,0,1,0,0,0,0,0,0,0
David Amerson,/players/A/AmerDa00.htm,2,0,0,0,0,0,1,0,0,0,0,0
Denico Autry,/players/A/AutrDe00.htm,1,0,0,0,0,0,0,0,0,0,0,0
NaVorro Bowman,/players/B/BowmNa99.htm,1,0,1,0,0,0,0,0,0,0,0,0
T.J. Carrie,/players/C/CarrTr00.htm,1,0,0,0,4,0,0,0,0,0,0,0
Bruce Irvin,/players/I/IrviBr00.htm,1,0,0,0,1,0,0,0,0,0,0,0
Karl Joseph,/players/J/JoseKa00.htm,1,0,1,0,0,0,0,0,0,1,0,0
Dexter McDonald,/players/M/McDoDe02.htm,2,0,0,0,0,0,0,0,0,0,0,0
Keith McGill,/players/M/McGiKe00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Nicholas Morrow,/players/M/MorrNi00.htm,1,0,1,0,0,0,0,0,0,0,0,0
Reggie Nelson,/players/N/NelsRe99.htm,2,0,1,0,1,0,0,0,0,0,1,0
