player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Kwon Alexander,/players/A/AlexKw00.htm,0,0,1,0,1,0,0,0,0,0,0,0
Kendell Beckwith,/players/B/BeckKe00.htm,0,0,1,0,1,0,0,0,0,0,0,0
Chris Conte,/players/C/ContCh00.htm,0,0,0,0,0,0,1,0,0,0,0,0
Lavonte David,/players/D/DaviLa00.htm,3,0,0,0,0,0,0,0,0,0,0,0
Justin Evans,/players/E/EvanJu00.htm,0,0,2,0,1,0,0,0,0,0,0,0
Brent Grimes,/players/G/GrimBr20.htm,3,0,0,0,0,0,1,0,0,0,0,0
Robert McClain,/players/M/McClRo98.htm,0,0,0,0,3,1,0,0,0,0,2,0
Ryan Smith,/players/S/SmitRy00.htm,0,0,0,0,1,0,0,0,0,0,0,0
T.J. Ward,/players/W/WardT.99.htm,1,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Alexander,/players/A/AlexLo99.htm,2,0,0,0,1,0,0,0,0,0,0,0
Preston Brown,/players/B/BrowPr00.htm,2,0,2,0,3,0,0,0,0,0,0,0
E.J. Gaines,/players/G/GainE.00.htm,0,0,1,1,4,0,0,0,0,0,0,0
Micah Hyde,/players/H/HydeMi00.htm,0,1,0,0,2,0,1,1,1,0,0,0
Leonard Johnson,/players/J/JohnLe03.htm,1,0,1,0,3,1,0,0,0,0,0,0
Matt Milano,/players/M/MilaMa00.htm,0,0,0,0,2,0,0,0,0,0,0,0
Jordan Poyer,/players/P/PoyeJo00.htm,0,0,0,1,1,0,0,0,0,0,0,0
TreDavious White,/players/W/WhitTr01.htm,1,0,0,0,0,0,0,0,0,0,0,0
Shareece Wright,/players/W/WrigSh00.htm,1,0,0,0,3,0,0,0,0,0,0,0
