player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Zaire Anderson,/players/A/AndeZa01.htm,1,0,0,0,0,0,0,0,0,0,0,0
Brandon Marshall,/players/M/MarsBr01.htm,1,0,1,0,1,0,0,0,0,0,0,0
Will Parks,/players/P/ParkWi01.htm,0,0,1,0,0,0,0,0,0,0,1,0
Bradley Roby,/players/R/RobyBr00.htm,0,0,0,0,1,0,0,0,0,0,1,0
Justin Simmons,/players/S/SimmJu00.htm,0,0,0,0,0,0,0,0,0,0,1,0
Aqib Talib,/players/T/TaliAq99.htm,1,0,0,0,0,0,0,0,1,0,1,0
Derek Wolfe,/players/W/WolfDe00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Kenneth Acker,/players/A/AckeKe00.htm,0,0,1,0,2,0,0,0,0,0,0,0
Allen Bailey,/players/B/BailAl00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Derrick Johnson,/players/J/JohnDe25.htm,0,0,2,1,1,0,0,0,0,0,0,0
Tanoh Kpassagnon,/players/K/KpasTa00.htm,1,0,1,0,0,0,0,0,0,0,0,0
Eric Murray,/players/M/MurrEr00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Steven Nelson,/players/N/NelsSt01.htm,1,0,2,0,0,1,0,0,0,0,0,0
Ron Parker,/players/P/ParkRo01.htm,1,0,1,0,0,0,0,0,0,0,0,0
Marcus Peters,/players/P/PeteMa00.htm,1,0,0,0,0,0,0,0,0,0,0,0
Reggie Ragland,/players/R/RaglRe00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Daniel Sorensen,/players/S/SoreDa01.htm,0,0,2,0,2,0,0,0,0,0,0,0
