player_name,player_link,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Ezekiel Ansah,/players/A/AnsaEz00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Jarrad Davis,/players/D/DaviJa01.htm,2,0,1,0,2,0,0,0,0,0,0,0
Quandre Diggs,/players/D/DiggQu00.htm,0,0,1,0,1,0,0,0,0,0,0,0
D.J. Hayden,/players/H/HaydDJ00.htm,0,0,1,0,1,0,0,0,0,0,0,0
Miles Killebrew,/players/K/KillMi00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Nevin Lawson,/players/L/LawsNe00.htm,0,0,0,0,2,0,0,0,0,0,0,0
Glover Quin,/players/Q/QuinGl99.htm,0,0,3,0,2,0,0,0,0,0,0,0
Jalen Reeves-Maybin,/players/R/ReevJa00.htm,1,0,0,0,0,0,0,0,0,0,0,0
A'Shawn Robinson,/players/R/RobiAS00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Darius Slay,/players/S/SlayDa00.htm,0,0,1,0,0,0,0,1,0,0,0,0
Charles Washington,/players/W/WashCh01.htm,0,0,2,0,0,0,0,0,1,0,0,0
Tahir Whitehead,/players/W/WhitTa00.htm,1,0,2,0,0,0,0,0,0,0,0,0
Tavon Wilson,/players/W/WilsTa00.htm,0,0,0,0,1,0,0,0,0,0,0,0
Anthony Zettel,/players/Z/ZettAn00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Morgan Burnett,/players/B/BurnMo99.htm,3,0,1,0,1,0,0,0,0,0,0,0
Kenny Clark,/players/C/ClarKe01.htm,0,0,0,0,1,0,0,0,0,0,0,0
Ha Ha Clinton-Dix,/players/C/ClinHa00.htm,0,0,0,0,0,0,0,0,0,0,1,0
Marwin Evans,/players/E/EvanMa00.htm,0,0,1,0,0,0,0,0,0,0,1,0
Davon House,/players/H/HousDa00.htm,4,0,3,0,0,0,0,0,0,0,0,0
Josh Jones,/players/J/JoneJo06.htm,0,0,0,0,1,0,0,0,1,0,0,0
Blake Martinez,/players/M/MartBl01.htm,0,0,3,0,1,0,0,0,0,0,0,0
Clay Matthews,/players/M/MattCl99.htm,0,0,1,0,0,0,0,0,0,0,0,0
Chris Odom,/players/O/OdomCh00.htm,0,0,1,0,0,0,0,0,0,0,0,0
Damarious Randall,/players/R/RandDa00.htm,0,0,0,0,0,0,1,0,0,0,0,0
