player_name,pen,yds
Marshon Lattimore,Defensive Holding,5
David Onyemata,Illegal Use of Hands,5
Zach Line,Face Mask ,-1
Ryan Schraeder,False Start,5
Sheldon Rankins,Roughing the Passer,15
Austin Hooper,Illegal Block Above the Waist,10
Josh LeRibeus,Illegal Formation,5
David Onyemata,Defensive Holding,5
Vonn Bell,Face Mask ,-1
LaRoy Reynolds,Offensive Holding,10
Julio Jones,Offensive Pass Interference ,-1
Marshon Lattimore,Defensive Holding,5
Ken Crawley,Illegal Contact,5
Ben Garland,Offensive Holding,10
Craig Robertson,Defensive Holding,5
Ryan Ramczyk,Offensive Holding ,-1
