player_name,pen,yds
Alec Ogletree,Defensive Pass Interference,13
Lane Johnson,False Start,4
Kamu Grugier-Hill,Offside on Free Kick,5
John Sullivan,Offensive Holding,10
Trumaine Johnson,Defensive Pass Interference,41
Halapoulivaati Vaitai,False Start,5
Beau Allen,Neutral Zone Infraction,5
Patrick Robinson,Defensive Holding,6
Isaac Seumalo,Offensive Holding,10
Trumaine Johnson,Unsportsmanlike Conduct,15
Samson Ebukam,Unnecessary Roughness,3
Lane Johnson,Offensive Holding,10
Timmy Jernigan,Illegal Use of Hands,5
Ethan Westbrooks,Defensive Offside,5
Jalen Mills,Defensive Pass Interference,7
Brandon Brooks,Offensive Holding,10
Aaron Donald,Leverage,15
