player_name,pen,yds
Duane Brown,Offensive Holding ,-1
Jamon Brown,False Start,5
Michael Bennett,Encroachment,5
Duane Brown,Offensive Holding,10
Germain Ifedi,False Start,5
Tanner McEvoy,Illegal Touch Pass ,-1
Gerald Everett,Offensive Holding ,-1
Delano Hill,Disqualification,15
D.J. Alexander,Unnecessary Roughness ,-1
Robert Quinn,Unsportsmanlike Conduct,15
Jeremy Lane,Offside on Free Kick,5
Johnny Hekker,Delay of Game ,-1
Germain Ifedi,False Start,5
Russell Wilson,Intentional Grounding,5
Jon Ryan,Delay of Game,5
Mike Thomas,False Start,5
