player_name,pen,yds
Chaz Green,False Start,5
Demarcus Lawrence,Leverage,15
Dez Bryant,Offensive Pass Interference,10
Ronald Leary,Offensive Holding,10
Anthony Brown,Defensive Pass Interference,10
Von Miller,Defensive Offside,5
Von Miller,Roughing the Passer,15
Jason Witten,False Start,5
La'el Collins,False Start,5
Kyle Peko,Offensive Holding,6
Anthony Brown,Defensive Pass Interference,14
A.J. Derby,Illegal Block Above the Waist,10
Trevor Siemian,False Start,5
Von Miller,Defensive Offside,5
Von Miller,Defensive Offside ,-1
Chris Harris,Defensive Holding,5
Tyron Smith,False Start,5
Shaquil Barrett,Defensive Offside ,-1
