player_name,player_link,l_end__att,l_end__yds,l_end__td,l_tckl__att,l_tckl__yds,l_tckl__td,l_guard__att,l_guard__yds,l_guard__td,mid__att,mid__yds,mid__td,r_guard__att,r_guard__yds,r_guard__td,r_tckl__att,r_tckl__yds,r_tckl__td,r_end__att,r_end__yds,r_end__td
David Fluellen,/players/F/FlueDa00.htm,0,0,0,0,0,0,2,14,0,1,4,0,0,0,0,0,0,0,0,0,0
Jalston Fowler,/players/F/FowlJa00.htm,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0
Derrick Henry,/players/H/HenrDe00.htm,4,39,0,0,0,0,0,0,0,9,46,1,0,0,0,0,0,0,1,7,0
Marcus Mariota,/players/M/MariMa01.htm,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,2,12,0
DeMarco Murray,/players/M/MurrDe00.htm,2,0,0,0,0,0,1,4,0,4,14,0,0,0,0,0,0,0,2,7,0
Taywan Taylor,/players/T/TaylTa00.htm,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delanie Walker,/players/W/WalkHu00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Blake Bortles,/players/B/BortBl00.htm,2,17,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0
Leonard Fournette,/players/F/FourLe00.htm,3,3,0,0,0,0,0,0,0,9,34,1,0,0,0,0,0,0,2,3,0
Corey Grant,/players/G/GranCo00.htm,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Ivory,/players/I/IvorCh00.htm,1,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0
