player_name,player_link
Kenneth Acker,/players/A/AckeKe00.htm,0,0,1,0,0,0,0
Justin Houston,/players/H/HousJu00.htm,0,0,2,0,0,2,1
Jarvis Jenkins,/players/J/JenkJa01.htm,0,0,0,2,0,0,0
Derrick Johnson,/players/J/JohnDe25.htm,0,0,0,0,2,0,0
Chris Jones,/players/J/JoneCh09.htm,0,1,1,1,1,0,0
Bennie Logan,/players/L/LogaBe00.htm,0,0,2,0,0,2,0
Steven Nelson,/players/N/NelsSt01.htm,0,1,0,0,0,0,0
Rakeem Nunez-Roches,/players/N/NuneRa00.htm,0,0,0,1,1,0,0
Ron Parker,/players/P/ParkRo01.htm,0,0,0,0,0,3,1
Marcus Peters,/players/P/PeteMa00.htm,0,0,1,0,0,1,0
Kevin Pierre-Louis,/players/P/PierKe00.htm,1,0,0,2,1,0,0
Reggie Ragland,/players/R/RaglRe00.htm,0,0,3,1,1,1,0
Daniel Sorensen,/players/S/SoreDa01.htm,0,1,0,0,0,1,0
Cam Thomas,/players/T/ThomCa99.htm,0,0,1,0,0,0,0
Frank Zombo,/players/Z/ZombFr00.htm,0,1,1,1,0,0,0
Andrew Adams,/players/A/AdamAn01.htm,1,0,0,1,0,0,0
Akeem Ayers,/players/A/AyerAk00.htm,0,0,0,1,0,0,0
Jay Bromley,/players/B/BromJa00.htm,0,1,0,0,0,0,1
Jonathan Casillas,/players/C/CasiJo99.htm,0,0,0,0,0,1,0
Ross Cockrell,/players/C/CockRo00.htm,1,1,0,0,0,0,1
Landon Collins,/players/C/CollLa00.htm,0,1,0,5,0,3,1
Damon Harrison,/players/H/HarrDa03.htm,0,1,0,1,0,0,1
Janoris Jenkins,/players/J/JenkJa03.htm,0,0,0,0,0,1,0
Devon Kennard,/players/K/KennDe00.htm,0,0,1,0,0,0,0
Avery Moss,/players/M/MossAv00.htm,0,0,0,0,0,1,0
Calvin Munson,/players/M/MunsCa00.htm,1,1,1,1,1,1,0
Jason Pierre-Paul,/players/P/PierJa99.htm,0,0,0,1,2,0,1
Dominique Rodgers-Cromartie,/players/R/RodgDo99.htm,0,0,0,0,1,0,0
Darian Thompson,/players/T/ThomDa05.htm,0,1,0,0,1,1,0
Dalvin Tomlinson,/players/T/TomlDa00.htm,1,1,1,1,0,1,0
Olivier Vernon,/players/V/VernOl00.htm,0,1,0,0,0,1,0
