player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Robert Alford,/players/A/AlfoRo00.htm,0,1,0,0,0,0,0
Vic Beasley,/players/B/BeasVi00.htm,0,0,0,0,1,0,1
De'Vondre Campbell,/players/C/CampDe00.htm,0,0,0,0,2,0,0
Kemal Ishmael,/players/I/IshmKe00.htm,0,0,1,0,0,0,0
Grady Jarrett,/players/J/JarrGr00.htm,1,1,1,0,1,0,0
Deion Jones,/players/J/JoneDe01.htm,0,1,1,0,1,3,0
Keanu Neal,/players/N/NealKe01.htm,0,0,1,0,0,0,0
Dontari Poe,/players/P/PoexDo00.htm,0,1,0,0,0,0,0
Brian Poole,/players/P/PoolBr01.htm,1,0,1,0,0,0,1
Brooks Reed,/players/R/ReedBr00.htm,0,1,0,0,2,1,0
Duke Riley,/players/R/RileDu00.htm,0,1,0,0,0,1,0
Vonn Bell,/players/B/BellVo00.htm,0,1,0,0,0,0,0
Ken Crawley,/players/C/CrawKe02.htm,0,0,1,0,0,1,0
Tyeler Davison,/players/D/DaviTy01.htm,0,0,1,0,1,0,0
Cameron Jordan,/players/J/JordCa00.htm,0,0,0,0,0,1,0
Hau'oli Kikaha,/players/K/KikaHa00.htm,0,0,1,0,0,1,0
Marshon Lattimore,/players/L/LattMa01.htm,1,1,0,0,0,0,0
David Onyemata,/players/O/OnyeDa00.htm,1,0,1,0,0,0,0
Sheldon Rankins,/players/R/RankSh00.htm,1,1,0,0,0,0,0
Craig Robertson,/players/R/RobeCr00.htm,0,0,0,0,2,1,0
Manti Te'o,/players/T/TeoxMa00.htm,0,1,0,0,1,0,1
Marcus Williams,/players/W/WillMa08.htm,0,1,0,0,0,0,0
P.J. Williams,/players/W/WillP.00.htm,1,0,0,0,0,0,0
