player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Jamal Adams,/players/A/AdamJa00.htm,1,0,0,1,0,0,0
Juston Burris,/players/B/BurrJu00.htm,0,1,0,0,0,0,1
Morris Claiborne,/players/C/ClaiMo00.htm,0,1,0,0,0,0,0
Demario Davis,/players/D/DaviDe00.htm,0,0,0,0,1,2,0
Dylan Donahue,/players/D/DonaDy00.htm,0,1,0,0,0,0,0
Kony Ealy,/players/E/EalyKo00.htm,0,0,1,1,0,0,0
Jordan Jenkins,/players/J/JenkJo01.htm,0,0,1,0,0,2,0
Darron Lee,/players/L/LeexDa00.htm,1,0,1,0,0,1,0
Josh Martin,/players/M/MartJo02.htm,0,0,0,1,0,0,0
Marcus Maye,/players/M/MayeMa00.htm,0,1,1,0,1,0,0
Steve McLendon,/players/M/McLeSt00.htm,0,0,0,0,1,0,0
Mike Pennel,/players/P/PennMi00.htm,0,2,0,0,1,0,0
Buster Skrine,/players/S/SkriBu00.htm,0,0,0,1,1,0,0
Muhammad Wilkerson,/players/W/WilkMu00.htm,0,1,0,0,1,2,0
Leonard Williams,/players/W/WillLe02.htm,0,0,0,1,2,0,0
Tyrell Adams,/players/A/AdamTy00.htm,0,0,1,0,0,0,0
Denico Autry,/players/A/AutrDe00.htm,1,0,0,1,0,0,0
T.J. Carrie,/players/C/CarrTr00.htm,2,0,0,0,0,0,0
James Cowser,/players/C/CowsJa00.htm,0,0,0,2,0,0,0
Mario Edwards,/players/E/EdwaMa01.htm,0,0,0,1,0,0,0
Treyvon Hester,/players/H/HestTr00.htm,0,0,0,1,0,0,0
Bruce Irvin,/players/I/IrviBr00.htm,1,0,0,1,0,0,0
Cory James,/players/J/JameCo00.htm,0,1,0,1,0,1,1
Karl Joseph,/players/J/JoseKa00.htm,0,0,0,3,0,0,0
Marquel Lee,/players/L/LeexMa01.htm,0,1,0,0,0,0,0
Khalil Mack,/players/M/MackKh00.htm,1,0,0,1,0,1,0
Nicholas Morrow,/players/M/MorrNi00.htm,0,0,0,1,0,1,0
Reggie Nelson,/players/N/NelsRe99.htm,0,0,0,6,0,0,0
Eddie Vanderdoes,/players/V/VandEd00.htm,0,0,0,2,0,0,0
