player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Allen Bailey,/players/B/BailAl00.htm,0,2,0,0,1,0,0
Dee Ford,/players/F/FordDe00.htm,0,1,0,0,0,0,0
Phillip Gaines,/players/G/GainPh00.htm,1,0,0,2,0,0,1
Justin Houston,/players/H/HousJu00.htm,0,1,1,1,0,1,0
Derrick Johnson,/players/J/JohnDe25.htm,0,1,0,1,0,0,0
Chris Jones,/players/J/JoneCh09.htm,0,2,0,0,0,0,0
Bennie Logan,/players/L/LogaBe00.htm,0,0,0,1,0,1,0
Roy Miller,/players/M/MillRo99.htm,0,0,0,1,0,0,0
Terrance Mitchell,/players/M/MitcTe00.htm,1,1,0,0,0,0,0
Eric Murray,/players/M/MurrEr00.htm,0,0,0,1,0,0,0
Rakeem Nunez-Roches,/players/N/NuneRa00.htm,0,1,0,0,0,0,0
Ron Parker,/players/P/ParkRo01.htm,0,0,0,2,0,0,0
Marcus Peters,/players/P/PeteMa00.htm,0,0,0,0,0,0,1
Daniel Sorensen,/players/S/SoreDa01.htm,1,2,0,1,0,1,0
Ramik Wilson,/players/W/WilsRa00.htm,0,0,0,0,0,2,0
Frank Zombo,/players/Z/ZombFr00.htm,0,0,0,1,0,0,0
Jahleel Addae,/players/A/AddaJa00.htm,1,0,0,3,0,0,0
Joey Bosa,/players/B/BosaJo00.htm,0,0,0,3,0,1,1
Tre Boston,/players/B/BostTr00.htm,0,0,0,1,0,0,1
Jatavis Brown,/players/B/BrowJa05.htm,0,1,0,5,0,0,2
Nigel Harris,/players/H/HarrNi00.htm,0,0,0,1,0,0,0
Casey Hayward,/players/H/HaywCa00.htm,0,0,0,1,0,0,1
Melvin Ingram,/players/I/IngrMe00.htm,1,0,0,0,0,1,1
Desmond King,/players/K/KingDe01.htm,1,0,0,0,0,1,0
Chris McCain,/players/M/McCaCh00.htm,0,0,0,0,0,0,1
Brandon Mebane,/players/M/MebaBr99.htm,0,0,0,0,0,0,1
Darius Philon,/players/P/PhilDa01.htm,0,0,0,0,0,1,1
Damion Square,/players/S/SquaDa00.htm,0,0,0,0,0,1,0
Korey Toomer,/players/T/ToomKo00.htm,0,0,0,2,0,0,3
Trevor Williams,/players/W/WillTr05.htm,0,1,0,1,0,0,0
