player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Mike Adams,/players/A/AdamMi21.htm,0,0,0,0,1,0,1
James Bradberry,/players/B/BradJa00.htm,0,0,0,0,1,1,0
Vernon Butler,/players/B/ButlVe00.htm,0,0,0,0,1,0,0
Demetrious Cox,/players/C/CoxxDe00.htm,0,0,1,0,0,0,0
Thomas Davis,/players/D/DaviTh20.htm,0,0,0,1,0,0,0
Wes Horton,/players/H/HortWe00.htm,0,0,1,0,0,0,0
Luke Kuechly,/players/K/KuecLu00.htm,1,2,3,0,0,0,1
Star Lotulelei,/players/L/LotuSt00.htm,0,1,0,0,0,0,0
Kyle Love,/players/L/LoveKy00.htm,0,0,0,1,0,0,0
Captain Munnerlyn,/players/M/MunnCa99.htm,0,0,1,0,0,0,0
Julius Peppers,/players/P/PeppJu99.htm,0,0,0,1,0,0,0
Kevon Seymour,/players/S/SeymKe00.htm,0,0,0,0,1,0,0
Kawann Short,/players/S/ShorKa00.htm,0,0,0,0,1,0,0
Shaq Thompson,/players/T/ThomSh01.htm,0,0,0,1,0,0,0
Malcom Brown,/players/B/BrowMa01.htm,0,0,0,3,1,0,0
Malcolm Butler,/players/B/ButlMa01.htm,0,0,0,0,1,0,2
Patrick Chung,/players/C/ChunPa99.htm,0,0,0,0,1,0,1
Trey Flowers,/players/F/FlowTr00.htm,0,0,1,2,2,0,0
Stephon Gilmore,/players/G/GilmSt00.htm,1,0,1,0,0,0,0
Lawrence Guy,/players/G/GuyxLa00.htm,0,1,0,2,0,0,0
Duron Harmon,/players/H/HarmDu00.htm,0,0,0,1,0,0,0
Dont'a Hightower,/players/H/HighDo01.htm,0,0,0,1,0,0,0
Jonathan Jones,/players/J/JoneJo03.htm,0,0,0,0,0,0,1
Cassius Marsh,/players/M/MarsCa00.htm,0,0,0,1,0,1,1
Devin McCourty,/players/M/McCoDe99.htm,0,0,0,1,0,1,1
Elandon Roberts,/players/R/RobeEl00.htm,0,0,0,2,1,0,0
Deatrich Wise Jr.,/players/W/WiseDe00.htm,0,0,0,1,0,0,0
