player_name,player_link,l_end,l_tckl,l_guard,mid,r_guard,r_tckl,r_end
Brandon Carr,/players/C/CarrBr99.htm,0,0,0,1,0,0,1
Chuck Clark,/players/C/ClarCh00.htm,0,0,1,0,0,0,0
Jaylen Hill,/players/H/HillJa01.htm,0,0,1,0,0,0,0
Tony Jefferson,/players/J/JeffTo00.htm,0,0,0,1,2,0,1
Matt Judon,/players/J/JudoMa00.htm,0,1,0,0,1,0,0
Bronson Kaufusi,/players/K/KaufBr01.htm,0,0,0,2,0,0,0
C.J. Mosley,/players/M/MoslC.00.htm,0,1,0,3,0,0,3
Patrick Onwuasor,/players/O/OnwuPa00.htm,0,2,0,1,0,0,0
Michael Pierce,/players/P/PierMi00.htm,0,0,0,2,1,1,0
Za'Darius Smith,/players/S/SmitZa00.htm,0,0,0,0,1,0,0
Terrell Suggs,/players/S/SuggTe99.htm,0,0,1,2,1,1,0
Lardarius Webb,/players/W/WebbLa99.htm,0,2,0,0,0,0,0
Eric Weddle,/players/W/WeddEr99.htm,0,1,0,0,1,0,0
Brandon Williams,/players/W/WillBr02.htm,0,0,1,4,0,0,0
Chris Wormley,/players/W/WormCh00.htm,0,0,0,0,1,0,0
Anthony Barr,/players/B/BarrAn00.htm,0,0,0,0,0,0,2
Ben Gedeon,/players/G/GedeBe00.htm,0,0,1,0,1,0,1
Everson Griffen,/players/G/GrifEv99.htm,1,0,1,1,0,0,0
Danielle Hunter,/players/H/HuntDa01.htm,0,0,0,0,0,0,1
Tom Johnson,/players/J/JohnTo01.htm,1,0,0,0,0,0,0
Linval Joseph,/players/J/JoseLi99.htm,3,0,0,0,1,0,0
Eric Kendricks,/players/K/KendEr00.htm,1,1,2,0,0,0,0
Andrew Sendejo,/players/S/SendAn00.htm,0,0,0,0,0,0,1
Harrison Smith,/players/S/SmitHa00.htm,0,0,1,0,0,0,0
Shamar Stephen,/players/S/StepSh00.htm,0,0,0,1,2,0,0
