player_name,player_link,pos,off__num,off__pct,def__num,def__pct,st__num,st__pct,team_name
Andrew Norwell,/players/N/NorwAn01.htm,G,73,100,0,0,7,25,Carolina Panthers
Matt Kalil,/players/K/KaliMa00.htm,T,73,100,0,0,7,25,Carolina Panthers
Daryl Williams,/players/W/WillDa06.htm,T,73,100,0,0,7,25,Carolina Panthers
Trai Turner,/players/T/TurnTr01.htm,G,73,100,0,0,7,25,Carolina Panthers
Ed Dickson,/players/D/DickEd00.htm,TE,70,96,0,0,7,25,Carolina Panthers
Cam Newton,/players/N/NewtCa00.htm,QB,68,93,0,0,0,0,Carolina Panthers
Tyler Larsen,/players/L/LarsTy00.htm,C,64,88,0,0,0,0,Carolina Panthers
Devin Funchess,/players/F/FuncDe00.htm,WR,56,77,0,0,0,0,Carolina Panthers
Russell Shepard,/players/S/ShepRu00.htm,WR,42,58,0,0,12,43,Carolina Panthers
Christian McCaffrey,/players/M/McCaCh01.htm,RB,42,58,0,0,2,7,Carolina Panthers
Curtis Samuel,/players/S/SamuCu00.htm,WR,40,55,0,0,7,25,Carolina Panthers
Chris Manhertz,/players/M/ManhCh00.htm,TE,26,36,0,0,4,14,Carolina Panthers
Jonathan Stewart,/players/S/StewJo00.htm,RB,24,33,0,0,0,0,Carolina Panthers
Kaelin Clay,/players/C/ClayKa00.htm,WR,22,30,0,0,6,21,Carolina Panthers
Alex Armah,/players/A/ArmaAl00.htm,RB,17,23,0,0,16,57,Carolina Panthers
Cameron Artis-Payne,/players/A/ArtiCa00.htm,RB,11,15,0,0,16,57,Carolina Panthers
Brenton Bersin,/players/B/BersBr00.htm,WR,10,14,0,0,5,18,Carolina Panthers
Greg Van Roten,/players/V/VanRGr00.htm,G,9,12,0,0,10,36,Carolina Panthers
Taylor Moton,/players/M/MotoTa00.htm,T,5,7,0,0,7,25,Carolina Panthers
Derek Anderson,/players/A/AndeDe00.htm,QB,5,7,0,0,0,0,Carolina Panthers
James Bradberry,/players/B/BradJa00.htm,CB,0,0,56,100,7,25,Carolina Panthers
Mike Adams,/players/A/AdamMi21.htm,SS,0,0,56,100,5,18,Carolina Panthers
Kurt Coleman,/players/C/ColeKu99.htm,FS,0,0,56,100,5,18,Carolina Panthers
Luke Kuechly,/players/K/KuecLu00.htm,LB,0,0,45,80,4,14,Carolina Panthers
Thomas Davis,/players/D/DaviTh20.htm,LB,0,0,45,80,2,7,Carolina Panthers
Kawann Short,/players/S/ShorKa00.htm,DT,0,0,40,71,5,18,Carolina Panthers
Shaq Thompson,/players/T/ThomSh01.htm,LB,0,0,38,68,7,25,Carolina Panthers
Mario Addison,/players/A/AddiMa00.htm,DE,0,0,38,68,2,7,Carolina Panthers
Daryl Worley,/players/W/WorlDa00.htm,CB,0,0,36,64,10,36,Carolina Panthers
Star Lotulelei,/players/L/LotuSt00.htm,DT,0,0,35,62,5,18,Carolina Panthers
Charles Johnson,/players/J/JohnCh98.htm,DE,0,0,32,57,0,0,Carolina Panthers
Captain Munnerlyn,/players/M/MunnCa99.htm,CB,0,0,31,55,0,0,Carolina Panthers
Julius Peppers,/players/P/PeppJu99.htm,DE,0,0,22,39,5,18,Carolina Panthers
Wes Horton,/players/H/HortWe00.htm,DE,0,0,22,39,0,0,Carolina Panthers
Kevon Seymour,/players/S/SeymKe00.htm,CB,0,0,20,36,13,46,Carolina Panthers
Kyle Love,/players/L/LoveKy00.htm,DT,0,0,17,30,0,0,Carolina Panthers
Vernon Butler,/players/B/ButlVe00.htm,DT,0,0,16,29,3,11,Carolina Panthers
David Mayo,/players/M/MayoDa00.htm,LB,0,0,11,20,17,61,Carolina Panthers
Ben Jacobs,/players/J/JacoBe00.htm,LB,0,0,0,0,17,61,Carolina Panthers
Jared Norris,/players/N/NorrJa01.htm,LB,0,0,0,0,16,57,Carolina Panthers
Colin Jones,/players/J/JoneCo01.htm,FS,0,0,0,0,16,57,Carolina Panthers
Graham Gano,/players/G/GanoGr44.htm,K,0,0,0,0,15,54,Carolina Panthers
Michael Palardy,/players/P/PalaMi00.htm,P,0,0,0,0,9,32,Carolina Panthers
J.J. Jansen,/players/J/JansJ.00.htm,LS,0,0,0,0,9,32,Carolina Panthers
Amini Silatolu,/players/S/SilaAm00.htm,T,0,0,0,0,8,29,Carolina Panthers
Jairus Byrd,/players/B/ByrdJa99.htm,FS,0,0,0,0,8,29,Carolina Panthers
Jesse Davis,/players/D/DaviJe00.htm,G,56,100,0,0,3,11,Miami Dolphins
Ted Larsen,/players/L/LarsTe20.htm,G,56,100,0,0,3,11,Miami Dolphins
Jermon Bushrod,/players/B/BushJe20.htm,G,56,100,0,0,3,11,Miami Dolphins
Laremy Tunsil,/players/T/TunsLa00.htm,T,56,100,0,0,3,11,Miami Dolphins
Kenny Stills,/players/S/StilKe00.htm,WR,56,100,0,0,0,0,Miami Dolphins
Jay Cutler,/players/C/CutlJa00.htm,QB,56,100,0,0,0,0,Miami Dolphins
Mike Pouncey,/players/P/PounMi00.htm,C,56,100,0,0,0,0,Miami Dolphins
Jarvis Landry,/players/L/LandJa00.htm,WR,52,93,0,0,2,7,Miami Dolphins
DeVante Parker,/players/P/ParkDe01.htm,WR,50,89,0,0,0,0,Miami Dolphins
Julius Thomas,/players/T/ThomJu00.htm,TE,42,75,0,0,0,0,Miami Dolphins
Damien Williams,/players/W/WillDa05.htm,RB,31,55,0,0,8,29,Miami Dolphins
Kenyan Drake,/players/D/DrakKe00.htm,RB,25,45,0,0,0,0,Miami Dolphins
