player_name,player_link,pos,off__num,off__pct,def__num,def__pct,st__num,st__pct,team_name
Jason Witten,/players/W/WittJa00.htm,TE,74,100,0,0,6,22,Dallas Cowboys
Travis Frederick,/players/F/FredTr00.htm,C,74,100,0,0,6,22,Dallas Cowboys
Jonathan Cooper,/players/C/CoopJo01.htm,G,74,100,0,0,6,22,Dallas Cowboys
Zack Martin,/players/M/MartZa00.htm,G,74,100,0,0,6,22,Dallas Cowboys
La'el Collins,/players/C/CollLa01.htm,T,74,100,0,0,6,22,Dallas Cowboys
Dak Prescott,/players/P/PresDa01.htm,QB,74,100,0,0,0,0,Dallas Cowboys
Byron Bell,/players/B/BellBy00.htm,T,71,96,0,0,6,22,Dallas Cowboys
Ezekiel Elliott,/players/E/ElliEz00.htm,RB,66,89,0,0,0,0,Dallas Cowboys
Dez Bryant,/players/B/BryaDe01.htm,WR,62,84,0,0,0,0,Dallas Cowboys
Terrance Williams,/players/W/WillTe01.htm,WR,56,76,0,0,0,0,Dallas Cowboys
Cole Beasley,/players/B/BeasCo00.htm,WR,44,59,0,0,1,4,Dallas Cowboys
Geoff Swaim,/players/S/SwaiGe00.htm,TE,20,27,0,0,12,44,Dallas Cowboys
Keith Smith,/players/S/SmitKe03.htm,FB,15,20,0,0,13,48,Dallas Cowboys
Noah Brown,/players/B/BrowNo00.htm,WR,13,18,0,0,13,48,Dallas Cowboys
James Hanna,/players/H/HannJa00.htm,TE,10,14,0,0,6,22,Dallas Cowboys
Rod Smith,/players/S/SmitRo06.htm,FB,7,9,0,0,17,63,Dallas Cowboys
Ryan Switzer,/players/S/SwitRy00.htm,WR,3,4,0,0,10,37,Dallas Cowboys
Tyron Smith,/players/S/SmitTy00.htm,T,3,4,0,0,0,0,Dallas Cowboys
Sean Lee,/players/L/LeexSe99.htm,LB,0,0,57,100,4,15,Dallas Cowboys
Chidobe Awuzie,/players/A/AwuzCh00.htm,CB,0,0,57,100,0,0,Dallas Cowboys
Jourdan Lewis,/players/L/LewiJo01.htm,CB,0,0,53,93,3,11,Dallas Cowboys
Jeff Heath,/players/H/HeatJe00.htm,SS,0,0,52,91,15,56,Dallas Cowboys
Byron Jones,/players/J/JoneBy00.htm,FS,0,0,43,75,21,78,Dallas Cowboys
Maliek Collins,/players/C/CollMa00.htm,DT,0,0,43,75,3,11,Dallas Cowboys
Tyrone Crawford,/players/C/CrawTy00.htm,DE,0,0,41,72,4,15,Dallas Cowboys
Anthony Hitchens,/players/H/HitcAn00.htm,LB,0,0,40,70,0,0,Dallas Cowboys
Datone Jones,/players/J/JoneDa03.htm,DE,0,0,36,63,4,15,Dallas Cowboys
Demarcus Lawrence,/players/L/LawrDe00.htm,DE,0,0,34,60,3,11,Dallas Cowboys
Xavier Woods,/players/W/WoodXa00.htm,FS,0,0,28,49,5,19,Dallas Cowboys
Damien Wilson,/players/W/WilsDa02.htm,LB,0,0,23,40,21,78,Dallas Cowboys
Taco Charlton,/players/C/CharTa00.htm,DE,0,0,22,39,1,4,Dallas Cowboys
Benson Mayowa,/players/M/MayoBe00.htm,DE,0,0,22,39,0,0,Dallas Cowboys
Anthony Brown,/players/B/BrowAn02.htm,CB,0,0,21,37,15,56,Dallas Cowboys
Kavon Frazier,/players/F/FrazKa00.htm,SS,0,0,19,33,17,63,Dallas Cowboys
Daniel Ross,/players/R/RossDa02.htm,DT,0,0,18,32,1,4,Dallas Cowboys
Jaylon Smith,/players/S/SmitJa05.htm,LB,0,0,14,25,0,0,Dallas Cowboys
Lewis Neal,/players/N/NealLe00.htm,DT,0,0,4,7,0,0,Dallas Cowboys
Kyle Wilber,/players/W/WilbKy00.htm,LB,0,0,0,0,21,78,Dallas Cowboys
Bene Benwikere,/players/B/BenwBe00.htm,CB,0,0,0,0,12,44,Dallas Cowboys
Dan Bailey,/players/B/BailDa00.htm,K,0,0,0,0,11,41,Dallas Cowboys
L.P. Ladouceur,/players/L/LadoL.20.htm,LS,0,0,0,0,8,30,Dallas Cowboys
Chris Jones,/players/J/JoneCh02.htm,P,0,0,0,0,8,30,Dallas Cowboys
Joe Looney,/players/L/LoonJo01.htm,C,0,0,0,0,6,22,Dallas Cowboys
Chaz Green,/players/G/GreeCh02.htm,G,0,0,0,0,6,22,Dallas Cowboys
Ethan Pocic,/players/P/PociEt00.htm,C,57,100,0,0,3,11,Seattle Seahawks
Germain Ifedi,/players/I/IfedGe00.htm,T,57,100,0,0,3,11,Seattle Seahawks
Luke Joeckel,/players/J/JoecLu00.htm,G,57,100,0,0,3,11,Seattle Seahawks
Justin Britt,/players/B/BritJu00.htm,C,57,100,0,0,3,11,Seattle Seahawks
Russell Wilson,/players/W/WilsRu00.htm,QB,57,100,0,0,0,0,Seattle Seahawks
Duane Brown,/players/B/BrowDu20.htm,T,57,100,0,0,0,0,Seattle Seahawks
Paul Richardson,/players/R/RichPa01.htm,WR,48,84,0,0,0,0,Seattle Seahawks
Doug Baldwin,/players/B/BaldDo00.htm,WR,46,81,0,0,0,0,Seattle Seahawks
Mike Davis,/players/D/DaviMi01.htm,RB,43,75,0,0,0,0,Seattle Seahawks
Jimmy Graham,/players/G/GrahJi00.htm,TE,40,70,0,0,0,0,Seattle Seahawks
Tyler Lockett,/players/L/LockTy00.htm,WR,35,61,0,0,7,26,Seattle Seahawks
Luke Willson,/players/W/WillLu00.htm,TE,27,47,0,0,15,56,Seattle Seahawks
Nick Vannett,/players/V/VannNi00.htm,TE,20,35,0,0,10,37,Seattle Seahawks
Thomas Rawls,/players/R/RawlTh00.htm,RB,10,18,0,0,0,0,Seattle Seahawks
Amara Darboh,/players/D/DarbAm00.htm,WR,7,12,0,0,10,37,Seattle Seahawks
Tanner McEvoy,/players/M/McEvTa01.htm,WR,6,11,0,0,5,19,Seattle Seahawks
J.D. McKissic,/players/M/McKiJ.00.htm,WR,2,4,0,0,5,19,Seattle Seahawks
Matt Tobin,/players/T/TobiMa00.htm,T,1,2,0,0,8,30,Seattle Seahawks
Bradley McDougald,/players/M/McDoBr01.htm,FS,0,0,74,100,7,26,Seattle Seahawks
Bobby Wagner,/players/W/WagnBo00.htm,LB,0,0,74,100,7,26,Seattle Seahawks
K.J. Wright,/players/W/WrigK.00.htm,LB,0,0,74,100,7,26,Seattle Seahawks
Shaquill Griffin,/players/G/GrifSh00.htm,CB,0,0,74,100,1,4,Seattle Seahawks
Byron Maxwell,/players/M/MaxwBy00.htm,CB,0,0,72,97,1,4,Seattle Seahawks
Earl Thomas,/players/T/ThomEa99.htm,FS,0,0,69,93,0,0,Seattle Seahawks
Michael Bennett,/players/B/BennMi99.htm,DE,0,0,68,92,1,4,Seattle Seahawks
Frank Clark,/players/C/ClarFr01.htm,DE,0,0,49,66,1,4,Seattle Seahawks
Justin Coleman,/players/C/ColeJu01.htm,CB,0,0,47,64,4,15,Seattle Seahawks
Branden Jackson,/players/J/JackBr04.htm,DE,0,0,44,59,6,22,Seattle Seahawks
Jarran Reed,/players/R/ReedJa02.htm,DT,0,0,44,59,6,22,Seattle Seahawks
Sheldon Richardson,/players/R/RichSh00.htm,DT,0,0,40,54,6,22,Seattle Seahawks
Dion Jordan,/players/J/JordDi00.htm,DE,0,0,32,43,6,22,Seattle Seahawks
Michael Wilhoite,/players/W/WilhMi00.htm,LB,0,0,27,36,13,48,Seattle Seahawks
Garrison Smith,/players/S/SmitGa01.htm,DT,0,0,11,15,1,4,Seattle Seahawks
Marcus Smith,/players/S/SmitMa03.htm,DE,0,0,8,11,7,26,Seattle Seahawks
Tedric Thompson,/players/T/ThomTe00.htm,SS,0,0,5,7,5,19,Seattle Seahawks
Jeremy Lane,/players/L/LaneJe00.htm,CB,0,0,2,3,15,56,Seattle Seahawks
Delano Hill,/players/H/HillDe02.htm,SS,0,0,0,0,23,85,Seattle Seahawks
Neiko Thorpe,/players/T/ThorNe00.htm,CB,0,0,0,0,22,81,Seattle Seahawks
Terence Garvin,/players/G/GarvTe00.htm,LB,0,0,0,0,19,70,Seattle Seahawks
Paul Dawson,/players/D/DawsPa00.htm,LB,0,0,0,0,17,63,Seattle Seahawks
DeShawn Shead,/players/S/SheaDe00.htm,CB,0,0,0,0,13,48,Seattle Seahawks
Tyler Ott,/players/O/OttxTy00.htm,LS,0,0,0,0,10,37,Seattle Seahawks
Jon Ryan,/players/R/RyanJo21.htm,P,0,0,0,0,10,37,Seattle Seahawks
Jordan Roos,/players/R/RoosJo00.htm,G,0,0,0,0,8,30,Seattle Seahawks
Blair Walsh,/players/W/WalsBl00.htm,K,0,0,0,0,7,26,Seattle Seahawks
