player_name,player_link,pos,off__num,off__pct,def__num,def__pct,st__num,st__pct,team_name
Andrew Norwell,/players/N/NorwAn01.htm,G,61,100,0,0,5,18,Carolina Panthers
Matt Kalil,/players/K/KaliMa00.htm,T,61,100,0,0,5,18,Carolina Panthers
Daryl Williams,/players/W/WillDa06.htm,T,61,100,0,0,5,18,Carolina Panthers
Amini Silatolu,/players/S/SilaAm00.htm,T,61,100,0,0,5,18,Carolina Panthers
Ryan Kalil,/players/K/KaliRy20.htm,C,61,100,0,0,0,0,Carolina Panthers
Cam Newton,/players/N/NewtCa00.htm,QB,60,98,0,0,0,0,Carolina Panthers
Greg Olsen,/players/O/OlseGr00.htm,TE,57,93,0,0,1,4,Carolina Panthers
Devin Funchess,/players/F/FuncDe00.htm,WR,54,89,0,0,1,4,Carolina Panthers
Christian McCaffrey,/players/M/McCaCh01.htm,RB,49,80,0,0,1,4,Carolina Panthers
Brenton Bersin,/players/B/BersBr00.htm,WR,48,79,0,0,12,43,Carolina Panthers
Jonathan Stewart,/players/S/StewJo00.htm,RB,23,38,0,0,0,0,Carolina Panthers
Ed Dickson,/players/D/DickEd00.htm,TE,21,34,0,0,15,54,Carolina Panthers
Damiere Byrd,/players/B/ByrdDa00.htm,WR,19,31,0,0,4,14,Carolina Panthers
Kaelin Clay,/players/C/ClayKa00.htm,WR,16,26,0,0,1,4,Carolina Panthers
Chris Manhertz,/players/M/ManhCh00.htm,TE,6,10,0,0,10,36,Carolina Panthers
Fozzy Whittaker,/players/W/WhitFo00.htm,RB,4,7,0,0,17,61,Carolina Panthers
Mose Frazier,/players/F/FrazMo00.htm,WR,4,7,0,0,4,14,Carolina Panthers
Taylor Moton,/players/M/MotoTa00.htm,T,3,5,0,0,5,18,Carolina Panthers
Tyler Larsen,/players/L/LarsTy00.htm,G,1,2,0,0,5,18,Carolina Panthers
Derek Anderson,/players/A/AndeDe00.htm,QB,1,2,0,0,0,0,Carolina Panthers
Shaq Thompson,/players/T/ThomSh01.htm,LB,0,0,64,100,7,25,Carolina Panthers
Daryl Worley,/players/W/WorlDa00.htm,CB,0,0,64,100,7,25,Carolina Panthers
Luke Kuechly,/players/K/KuecLu00.htm,LB,0,0,64,100,6,21,Carolina Panthers
Kurt Coleman,/players/C/ColeKu99.htm,FS,0,0,64,100,5,18,Carolina Panthers
James Bradberry,/players/B/BradJa00.htm,CB,0,0,64,100,5,18,Carolina Panthers
Mike Adams,/players/A/AdamMi21.htm,SS,0,0,60,94,6,21,Carolina Panthers
Mario Addison,/players/A/AddiMa00.htm,DE,0,0,44,69,1,4,Carolina Panthers
Kawann Short,/players/S/ShorKa00.htm,DT,0,0,43,67,6,21,Carolina Panthers
Star Lotulelei,/players/L/LotuSt00.htm,DT,0,0,40,62,6,21,Carolina Panthers
Julius Peppers,/players/P/PeppJu99.htm,DE,0,0,39,61,5,18,Carolina Panthers
Colin Jones,/players/J/JoneCo01.htm,FS,0,0,27,42,6,21,Carolina Panthers
Wes Horton,/players/H/HortWe00.htm,DE,0,0,26,41,0,0,Carolina Panthers
Captain Munnerlyn,/players/M/MunnCa99.htm,CB,0,0,25,39,0,0,Carolina Panthers
Kyle Love,/players/L/LoveKy00.htm,DT,0,0,24,38,0,0,Carolina Panthers
Vernon Butler,/players/B/ButlVe00.htm,DT,0,0,21,33,6,21,Carolina Panthers
Bryan Cox,/players/C/CoxxBr01.htm,DE,0,0,19,30,10,36,Carolina Panthers
David Mayo,/players/M/MayoDa00.htm,LB,0,0,10,16,23,82,Carolina Panthers
Jairus Byrd,/players/B/ByrdJa99.htm,FS,0,0,4,6,7,25,Carolina Panthers
Kevon Seymour,/players/S/SeymKe00.htm,CB,0,0,2,3,13,46,Carolina Panthers
Ben Jacobs,/players/J/JacoBe00.htm,LB,0,0,0,0,17,61,Carolina Panthers
Andrew Gachkar,/players/G/GachAn00.htm,LB,0,0,0,0,17,61,Carolina Panthers
Cameron Artis-Payne,/players/A/ArtiCa00.htm,RB,0,0,0,0,16,57,Carolina Panthers
Spencer Paysinger,/players/P/PaysSp00.htm,LB,0,0,0,0,14,50,Carolina Panthers
Graham Gano,/players/G/GanoGr44.htm,K,0,0,0,0,11,39,Carolina Panthers
J.J. Jansen,/players/J/JansJ.00.htm,LS,0,0,0,0,9,32,Carolina Panthers
Michael Palardy,/players/P/PalaMi00.htm,P,0,0,0,0,9,32,Carolina Panthers
Donovan Smith,/players/S/SmitDo02.htm,T,64,100,0,0,6,21,Tampa Bay Buccaneers
Kevin Pamphile,/players/P/PampKe00.htm,G,64,100,0,0,6,21,Tampa Bay Buccaneers
Caleb Benenoch,/players/B/BeneCa00.htm,T,64,100,0,0,6,21,Tampa Bay Buccaneers
Evan Dietrich-Smith,/players/D/DietEv00.htm,G,64,100,0,0,6,21,Tampa Bay Buccaneers
Jameis Winston,/players/W/WinsJa00.htm,QB,64,100,0,0,0,0,Tampa Bay Buccaneers
Joe Hawley,/players/H/HawlJo20.htm,C,64,100,0,0,0,0,Tampa Bay Buccaneers
Chris Godwin,/players/G/GodwCh00.htm,WR,54,84,0,0,0,0,Tampa Bay Buccaneers
Mike Evans,/players/E/EvanMi00.htm,WR,51,80,0,0,0,0,Tampa Bay Buccaneers
Cameron Brate,/players/B/BratCa00.htm,TE,43,67,0,0,0,0,Tampa Bay Buccaneers
Adam Humphries,/players/H/HumpAd00.htm,WR,35,55,0,0,4,14,Tampa Bay Buccaneers
Antony Auclair,/players/A/AuclAn00.htm,TE,33,52,0,0,13,46,Tampa Bay Buccaneers
Peyton Barber,/players/B/BarbPe01.htm,RB,25,39,0,0,0,0,Tampa Bay Buccaneers
Charles Sims,/players/S/SimsCh00.htm,RB,23,36,0,0,6,21,Tampa Bay Buccaneers
Alan Cross,/players/C/CrosAl00.htm,FB,19,30,0,0,22,79,Tampa Bay Buccaneers
Doug Martin,/players/M/MartDo00.htm,RB,15,23,0,0,0,0,Tampa Bay Buccaneers
Freddie Martino,/players/M/MartFr00.htm,WR,9,14,0,0,16,57,Tampa Bay Buccaneers
Leonard Wester,/players/W/WestLe00.htm,T,7,11,0,0,6,21,Tampa Bay Buccaneers
Jesus Wilson,/players/W/WilsJe00.htm,WR,4,6,0,0,6,21,Tampa Bay Buccaneers
Jacquizz Rodgers,/players/R/RodgJa00.htm,RB,2,3,0,0,7,25,Tampa Bay Buccaneers
Lavonte David,/players/D/DaviLa00.htm,LB,0,0,61,100,6,21,Tampa Bay Buccaneers
Kwon Alexander,/players/A/AlexKw00.htm,LB,0,0,61,100,6,21,Tampa Bay Buccaneers
T.J. Ward,/players/W/WardT.99.htm,FS,0,0,61,100,5,18,Tampa Bay Buccaneers
