player_name,player_link,pos,off__num,off__pct,def__num,def__pct,st__num,st__pct,team_name
Jahri Evans,/players/E/EvanJa21.htm,G,55,100,0,0,5,19,Green Bay Packers
Lane Taylor,/players/T/TaylLa01.htm,G,55,100,0,0,5,19,Green Bay Packers
Justin McCray,/players/M/McCrJu00.htm,G,55,100,0,0,5,19,Green Bay Packers
Lucas Patrick,/players/P/PatrLu00.htm,G,55,100,0,0,5,19,Green Bay Packers
Corey Linsley,/players/L/LinsCo00.htm,C,55,100,0,0,0,0,Green Bay Packers
Aaron Rodgers,/players/R/RodgAa00.htm,QB,52,95,0,0,0,0,Green Bay Packers
Jordy Nelson,/players/N/NelsJo00.htm,WR,51,93,0,0,1,4,Green Bay Packers
Martellus Bennett,/players/B/BennMa00.htm,TE,43,78,0,0,1,4,Green Bay Packers
Davante Adams,/players/A/AdamDa01.htm,WR,40,73,0,0,0,0,Green Bay Packers
Randall Cobb,/players/C/CobbRa00.htm,WR,34,62,0,0,0,0,Green Bay Packers
Aaron Jones,/players/J/JoneAa00.htm,RB,30,55,0,0,8,31,Green Bay Packers
Lance Kendricks,/players/K/KendLa00.htm,TE,17,31,0,0,5,19,Green Bay Packers
Geronimo Allison,/players/A/AlliGe01.htm,WR,16,29,0,0,0,0,Green Bay Packers
Aaron Ripkowski,/players/R/RipkAa00.htm,FB,13,24,0,0,9,35,Green Bay Packers
Jamaal Williams,/players/W/WillJa06.htm,RB,12,22,0,0,5,19,Green Bay Packers
Richard Rodgers,/players/R/RodgRi00.htm,TE,10,18,0,0,8,31,Green Bay Packers
Ty Montgomery,/players/M/MontTy01.htm,RB,5,9,0,0,0,0,Green Bay Packers
Trevor Davis,/players/D/DaviTr03.htm,WR,3,5,0,0,6,23,Green Bay Packers
Brett Hundley,/players/H/HundBr00.htm,QB,3,5,0,0,0,0,Green Bay Packers
Jeff Janis,/players/J/JaniJe00.htm,WR,1,2,0,0,18,69,Green Bay Packers
Morgan Burnett,/players/B/BurnMo99.htm,SS,0,0,65,96,3,12,Green Bay Packers
Kevin King,/players/K/KingKe01.htm,CB,0,0,61,90,12,46,Green Bay Packers
Ha Ha Clinton-Dix,/players/C/ClinHa00.htm,FS,0,0,60,88,3,12,Green Bay Packers
Josh Jones,/players/J/JoneJo06.htm,SS,0,0,51,75,8,31,Green Bay Packers
Dean Lowry,/players/L/LowrDe00.htm,DE,0,0,47,69,8,31,Green Bay Packers
Kenny Clark,/players/C/ClarKe01.htm,NT,0,0,46,68,3,12,Green Bay Packers
Kentrell Brice,/players/B/BricKe00.htm,FS,0,0,45,66,15,58,Green Bay Packers
Blake Martinez,/players/M/MartBl01.htm,LB,0,0,45,66,12,46,Green Bay Packers
Clay Matthews,/players/M/MattCl99.htm,LB,0,0,45,66,3,12,Green Bay Packers
Jake Ryan,/players/R/RyanJa00.htm,LB,0,0,42,62,15,58,Green Bay Packers
Josh Hawkins,/players/H/HawkJo00.htm,CB,0,0,40,59,8,31,Green Bay Packers
Ahmad Brooks,/players/B/BrooAh21.htm,LB,0,0,37,54,3,12,Green Bay Packers
Quinton Dial,/players/D/DialQu00.htm,NT,0,0,33,49,8,31,Green Bay Packers
Nick Perry,/players/P/PerrNi00.htm,LB,0,0,33,49,0,0,Green Bay Packers
Damarious Randall,/players/R/RandDa00.htm,CB,0,0,29,43,2,8,Green Bay Packers
Kyler Fackrell,/players/F/FackKy00.htm,LB,0,0,24,35,25,96,Green Bay Packers
Ricky Jean-Francois,/players/J/JeanRi99.htm,DT,0,0,23,34,0,0,Green Bay Packers
Marwin Evans,/players/E/EvanMa00.htm,SS,0,0,8,12,18,69,Green Bay Packers
Chris Odom,/players/O/OdomCh00.htm,LB,0,0,8,12,5,19,Green Bay Packers
Joe Thomas,/players/T/ThomJo04.htm,LB,0,0,5,7,8,31,Green Bay Packers
Quinten Rollins,/players/R/RollQu00.htm,CB,0,0,1,1,14,54,Green Bay Packers
Mason Crosby,/players/C/CrosMa20.htm,K,0,0,0,0,12,46,Green Bay Packers
Taybor Pepper,/players/P/PeppTa00.htm,LS,0,0,0,0,10,38,Green Bay Packers
Justin Vogel,/players/V/VogeJu00.htm,P,0,0,0,0,10,38,Green Bay Packers
Charles Leno,/players/L/LenoCh00.htm,T,68,100,0,0,3,12,Chicago Bears
Bobby Massie,/players/M/MassBo00.htm,T,68,100,0,0,3,12,Chicago Bears
Kyle Long,/players/L/LongKy00.htm,G,68,100,0,0,3,12,Chicago Bears
Cody Whitehair,/players/W/WhitCo03.htm,C,68,100,0,0,0,0,Chicago Bears
Mike Glennon,/players/G/GlenMi00.htm,QB,68,100,0,0,0,0,Chicago Bears
Josh Sitton,/players/S/SittJo20.htm,G,68,100,0,0,0,0,Chicago Bears
Deonte Thompson,/players/T/ThomDe04.htm,WR,53,78,0,0,4,15,Chicago Bears
Zach Miller,/players/M/MillZa02.htm,TE,48,71,0,0,0,0,Chicago Bears
Dion Sims,/players/S/SimsDi00.htm,TE,38,56,0,0,3,12,Chicago Bears
Markus Wheaton,/players/W/WheaMa00.htm,WR,38,56,0,0,0,0,Chicago Bears
Kendall Wright,/players/W/WrigKe01.htm,WR,37,54,0,0,0,0,Chicago Bears
Josh Bellamy,/players/B/BellJo02.htm,WR,36,53,0,0,5,19,Chicago Bears
Jordan Howard,/players/H/HowaJo00.htm,RB,35,51,0,0,0,0,Chicago Bears
Tarik Cohen,/players/C/CoheTa00.htm,RB,18,26,0,0,5,19,Chicago Bears
