player_name,player_link,pos,off__num,off__pct,def__num,def__pct,st__num,st__pct,team_name
Brent Qvale,/players/Q/QvalBr01.htm,T,70,100,0,0,8,22,New York Jets
James Carpenter,/players/C/CarpJa00.htm,G,70,100,0,0,6,16,New York Jets
Kelvin Beachum,/players/B/BeacKe00.htm,T,70,100,0,0,6,16,New York Jets
Brian Winters,/players/W/WintBr00.htm,G,70,100,0,0,0,0,New York Jets
Wesley Johnson,/players/J/JohnWe00.htm,C,70,100,0,0,0,0,New York Jets
Josh McCown,/players/M/McCoJo01.htm,QB,70,100,0,0,0,0,New York Jets
Jermaine Kearse,/players/K/KearJe01.htm,WR,67,96,0,0,0,0,New York Jets
Robby Anderson,/players/A/AndeRo04.htm,WR,55,79,0,0,0,0,New York Jets
Austin Seferian-Jenkins,/players/S/SefeAu00.htm,TE,54,77,0,0,2,5,New York Jets
Jeremy Kerley,/players/K/KerlJe00.htm,WR,46,66,0,0,8,22,New York Jets
Bilal Powell,/players/P/PoweBi00.htm,RB,46,66,0,0,0,0,New York Jets
Eric Tomlinson,/players/T/TomlEr01.htm,TE,29,41,0,0,9,24,New York Jets
Elijah McGuire,/players/M/McGuEl00.htm,RB,19,27,0,0,5,14,New York Jets
Lawrence Thomas,/players/T/ThomLa04.htm,DE,12,17,8,10,20,54,New York Jets
Neal Sterling,/players/S/SterNe00.htm,TE,9,13,0,0,10,27,New York Jets
ArDarius Stewart,/players/S/StewAr00.htm,WR,6,9,0,0,18,49,New York Jets
Travaris Cadet,/players/C/CadeTr00.htm,RB,5,7,0,0,2,5,New York Jets
Jonotthan Harrison,/players/H/HarrJo03.htm,C,1,1,0,0,7,19,New York Jets
Chad Hansen,/players/H/HansCh00.htm,WR,1,1,0,0,0,0,New York Jets
Demario Davis,/players/D/DaviDe00.htm,LB,0,0,78,100,15,41,New York Jets
Morris Claiborne,/players/C/ClaiMo00.htm,CB,0,0,78,100,5,14,New York Jets
Marcus Maye,/players/M/MayeMa00.htm,FS,0,0,78,100,5,14,New York Jets
Jamal Adams,/players/A/AdamJa00.htm,SS,0,0,77,99,8,22,New York Jets
Buster Skrine,/players/S/SkriBu00.htm,CB,0,0,75,96,11,30,New York Jets
Darron Lee,/players/L/LeexDa00.htm,LB,0,0,75,96,11,30,New York Jets
Leonard Williams,/players/W/WillLe02.htm,DE,0,0,68,87,8,22,New York Jets
Muhammad Wilkerson,/players/W/WilkMu00.htm,DE,0,0,61,78,7,19,New York Jets
David Bass,/players/B/BassDa00.htm,LB,0,0,48,62,12,32,New York Jets
Jordan Jenkins,/players/J/JenkJo01.htm,LB,0,0,47,60,13,35,New York Jets
Kony Ealy,/players/E/EalyKo00.htm,DE,0,0,36,46,3,8,New York Jets
Steve McLendon,/players/M/McLeSt00.htm,NT,0,0,33,42,5,14,New York Jets
Darryl Roberts,/players/R/RobeDa00.htm,CB,0,0,22,28,7,19,New York Jets
Juston Burris,/players/B/BurrJu00.htm,CB,0,0,20,26,20,54,New York Jets
Mike Pennel,/players/P/PennMi00.htm,NT,0,0,19,24,11,30,New York Jets
Dylan Donahue,/players/D/DonaDy00.htm,LB,0,0,14,18,5,14,New York Jets
Terrence Brooks,/players/B/BrooTe00.htm,SS,0,0,9,12,16,43,New York Jets
Rontez Miles,/players/M/MileRo00.htm,FS,0,0,8,10,23,62,New York Jets
Julian Stanford,/players/S/StanJu00.htm,LB,0,0,3,4,27,73,New York Jets
Bruce Carter,/players/C/CartBr00.htm,LB,0,0,0,0,23,62,New York Jets
Marcus Williams,/players/W/WillMa03.htm,CB,0,0,0,0,20,54,New York Jets
