player_name,player_link,pos,off__num,off__pct,def__num,def__pct,st__num,st__pct,team_name
Daniel Kilgore,/players/K/KilgDa00.htm,C,66,100,0,0,2,8,San Francisco 49ers
Joe Staley,/players/S/StalJo20.htm,T,66,100,0,0,2,8,San Francisco 49ers
Laken Tomlinson,/players/T/TomlLa01.htm,G,66,100,0,0,1,4,San Francisco 49ers
C.J. Beathard,/players/B/BeatC.00.htm,QB,66,100,0,0,0,0,San Francisco 49ers
Brandon Fusco,/players/F/FuscBr00.htm,G,52,79,0,0,1,4,San Francisco 49ers
Carlos Hyde,/players/H/HydeCa00.htm,RB,51,77,0,0,0,0,San Francisco 49ers
Trent Taylor,/players/T/TaylTr02.htm,WR,46,70,0,0,3,12,San Francisco 49ers
Trenton Brown,/players/B/BrowTr02.htm,T,46,70,0,0,1,4,San Francisco 49ers
Pierre Garcon,/players/G/GarcPi00.htm,WR,45,68,0,0,0,0,San Francisco 49ers
Marquise Goodwin,/players/G/GoodMa00.htm,WR,39,59,0,0,0,0,San Francisco 49ers
George Kittle,/players/K/KittGe00.htm,TE,31,47,0,0,0,0,San Francisco 49ers
Aldrick Robinson,/players/R/RobiAl00.htm,WR,30,45,0,0,3,12,San Francisco 49ers
Kendrick Bourne,/players/B/BourKe00.htm,WR,23,35,0,0,0,0,San Francisco 49ers
Cole Hikutini,/players/H/HikuCo00.htm,TE,21,32,0,0,12,50,San Francisco 49ers
Garry Gilliam,/players/G/GillGa01.htm,T,20,30,0,0,2,8,San Francisco 49ers
Garrett Celek,/players/C/CeleGa00.htm,TE,18,27,0,0,15,62,San Francisco 49ers
Matt Breida,/players/B/BreiMa00.htm,RB,15,23,0,0,14,58,San Francisco 49ers
Zane Beadles,/players/B/BeadZa20.htm,G,14,21,0,0,2,8,San Francisco 49ers
Logan Paulsen,/players/P/PaulLo00.htm,TE,11,17,0,0,6,25,San Francisco 49ers
Jaquiski Tartt,/players/T/TartJa00.htm,SS,0,0,75,100,10,42,San Francisco 49ers
Jimmie Ward,/players/W/WardJi01.htm,FS,0,0,75,100,8,33,San Francisco 49ers
Dontae Johnson,/players/J/JohnDo02.htm,CB,0,0,64,85,7,29,San Francisco 49ers
Solomon Thomas,/players/T/ThomSo00.htm,DE,0,0,61,81,6,25,San Francisco 49ers
Reuben Foster,/players/F/FostRe00.htm,LB,0,0,53,71,2,8,San Francisco 49ers
Rashard Robinson,/players/R/RobiRa00.htm,CB,0,0,51,68,8,33,San Francisco 49ers
DeForest Buckner,/players/B/BuckDe00.htm,DT,0,0,50,67,6,25,San Francisco 49ers
Eric Reid,/players/R/ReidEr00.htm,SS,0,0,48,64,5,21,San Francisco 49ers
Leger Douzable,/players/D/DouzLe00.htm,DE,0,0,47,63,4,17,San Francisco 49ers
Earl Mitchell,/players/M/MitcEa99.htm,DT,0,0,38,51,5,21,San Francisco 49ers
Ahkello Witherspoon,/players/W/WithAh00.htm,CB,0,0,35,47,15,62,San Francisco 49ers
Eli Harold,/players/H/HaroEl00.htm,LB,0,0,31,41,12,50,San Francisco 49ers
Adrian Colbert,/players/C/ColbAd00.htm,FS,0,0,28,37,16,67,San Francisco 49ers
Ray-Ray Armstrong,/players/A/ArmsRa01.htm,LB,0,0,27,36,10,42,San Francisco 49ers
Xavier Cooper,/players/C/CoopXa00.htm,DT,0,0,26,35,0,0,San Francisco 49ers
D.J. Jones,/players/J/JoneD.01.htm,DT,0,0,25,33,8,33,San Francisco 49ers
Tony McDaniel,/players/M/McDaTo20.htm,DT,0,0,25,33,0,0,San Francisco 49ers
Brock Coyle,/players/C/CoylBr00.htm,LB,0,0,22,29,21,88,San Francisco 49ers
K'Waun Williams,/players/W/WillKW00.htm,CB,0,0,20,27,1,4,San Francisco 49ers
Elvis Dumervil,/players/D/DumeEl20.htm,DE,0,0,15,20,1,4,San Francisco 49ers
Dekoda Watson,/players/W/WatsDe99.htm,LB,0,0,9,12,1,4,San Francisco 49ers
Elijah Lee,/players/L/LeexEl00.htm,LB,0,0,0,0,21,88,San Francisco 49ers
Raheem Mostert,/players/M/MostRa00.htm,RB,0,0,0,0,16,67,San Francisco 49ers
Bradley Pinion,/players/P/PiniBr00.htm,P,0,0,0,0,9,38,San Francisco 49ers
Kyle Nelson,/players/N/NelsKy00.htm,LS,0,0,0,0,6,25,San Francisco 49ers
Robbie Gould,/players/G/gouldrob01.htm,K,0,0,0,0,2,8,San Francisco 49ers
La'el Collins,/players/C/CollLa01.htm,T,75,100,0,0,5,21,Dallas Cowboys
Travis Frederick,/players/F/FredTr00.htm,C,75,100,0,0,5,21,Dallas Cowboys
Jonathan Cooper,/players/C/CoopJo01.htm,G,75,100,0,0,5,21,Dallas Cowboys
Jason Witten,/players/W/WittJa00.htm,TE,63,84,0,0,6,25,Dallas Cowboys
Tyron Smith,/players/S/SmitTy00.htm,T,63,84,0,0,5,21,Dallas Cowboys
Zack Martin,/players/M/MartZa00.htm,G,63,84,0,0,5,21,Dallas Cowboys
Dak Prescott,/players/P/PresDa01.htm,QB,63,84,0,0,0,0,Dallas Cowboys
Dez Bryant,/players/B/BryaDe01.htm,WR,54,72,0,0,1,4,Dallas Cowboys
Ezekiel Elliott,/players/E/ElliEz00.htm,RB,50,67,0,0,1,4,Dallas Cowboys
Terrance Williams,/players/W/WillTe01.htm,WR,41,55,0,0,0,0,Dallas Cowboys
Cole Beasley,/players/B/BeasCo00.htm,WR,34,45,0,0,1,4,Dallas Cowboys
James Hanna,/players/H/HannJa00.htm,TE,23,31,0,0,6,25,Dallas Cowboys
Brice Butler,/players/B/ButlBr00.htm,WR,23,31,0,0,1,4,Dallas Cowboys
Geoff Swaim,/players/S/SwaiGe00.htm,TE,22,29,0,0,10,42,Dallas Cowboys
Noah Brown,/players/B/BrowNo00.htm,WR,19,25,0,0,7,29,Dallas Cowboys
Rod Smith,/players/S/SmitRo06.htm,FB,13,17,0,0,16,67,Dallas Cowboys
Keith Smith,/players/S/SmitKe03.htm,FB,13,17,0,0,14,58,Dallas Cowboys
Joe Looney,/players/L/LoonJo01.htm,C,12,16,0,0,5,21,Dallas Cowboys
Chaz Green,/players/G/GreeCh02.htm,G,12,16,0,0,5,21,Dallas Cowboys
Cooper Rush,/players/R/RushCo00.htm,QB,12,16,0,0,0,0,Dallas Cowboys
Ryan Switzer,/players/S/SwitRy00.htm,WR,11,15,0,0,6,25,Dallas Cowboys
Alfred Morris,/players/M/MorrAl00.htm,RB,9,12,0,0,0,0,Dallas Cowboys
Byron Jones,/players/J/JoneBy00.htm,FS,0,0,62,94,14,58,Dallas Cowboys
Anthony Brown,/players/B/BrowAn02.htm,CB,0,0,61,92,8,33,Dallas Cowboys
Jeff Heath,/players/H/HeatJe00.htm,SS,0,0,59,89,19,79,Dallas Cowboys
Jourdan Lewis,/players/L/LewiJo01.htm,CB,0,0,58,88,5,21,Dallas Cowboys
Orlando Scandrick,/players/S/ScanOr99.htm,CB,0,0,58,88,2,8,Dallas Cowboys
Demarcus Lawrence,/players/L/LawrDe00.htm,DE,0,0,52,79,2,8,Dallas Cowboys
