player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Orleans Darkwa,/players/D/DarkOr00.htm,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhett Ellison,/players/E/ElliRh00.htm,0,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Engram,/players/E/EngrEv00.htm,2,1,31,0,1,1,5,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Lewis,/players/L/LewiRo03.htm,1,1,6,0,4,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,0
Brandon Marshall,/players/M/MarsBr00.htm,3,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Paul Perkins,/players/P/PerkPa00.htm,1,1,5,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterling Shepard,/players/S/ShepSt00.htm,3,3,24,0,3,3,17,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Vereen,/players/V/VereSh00.htm,0,0,0,0,2,2,14,0,8,7,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Beasley,/players/B/BeasCo00.htm,2,2,20,0,0,0,0,0,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Dez Bryant,/players/B/BryaDe01.htm,3,2,43,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Brice Butler,/players/B/ButlBr00.htm,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30,0
Ezekiel Elliott,/players/E/ElliEz00.htm,2,2,33,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Williams,/players/W/WillTe01.htm,1,1,15,0,1,1,23,0,4,4,30,0,1,0,0,0,0,0,0,0,0,0,0,0
Jason Witten,/players/W/WittJa00.htm,3,2,20,0,1,1,12,1,5,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0
