player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Jamison Crowder,/players/C/CrowJa00.htm,2,1,33,0,4,3,19,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Vernon Davis,/players/D/DaviVe00.htm,0,0,0,0,1,1,6,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Doctson,/players/D/DoctJo00.htm,2,2,12,0,1,0,0,0,1,1,14,1,0,0,0,0,0,0,0,0,1,0,0,0
Ryan Grant,/players/G/GranRy01.htm,3,2,24,0,0,0,0,0,4,1,8,0,1,1,20,1,1,1,24,0,0,0,0,0
Maurice Harris,/players/H/HarrMa05.htm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron Marshall,/players/M/MarsBy01.htm,3,3,22,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Niles Paul,/players/P/PaulNi00.htm,0,0,0,0,1,1,5,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Samaje Perine,/players/P/PeriSa00.htm,1,1,17,0,1,1,4,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Beasley,/players/B/BeasCo00.htm,2,2,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Brown,/players/B/BrowNo00.htm,0,0,0,0,0,0,0,0,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
Dez Bryant,/players/B/BryaDe01.htm,2,2,21,1,3,2,34,0,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0
Brice Butler,/players/B/ButlBr00.htm,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alfred Morris,/players/M/MorrAl00.htm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rod Smith,/players/S/SmitRo06.htm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Williams,/players/W/WillTe01.htm,0,0,0,0,0,0,0,0,2,2,21,0,0,0,0,0,0,0,0,0,1,0,0,0
Jason Witten,/players/W/WittJa00.htm,3,0,0,0,1,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
