player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Brandon Coleman,/players/C/ColeBr00.htm,2,2,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ted Ginn,/players/G/GinnTe00.htm,0,0,0,0,0,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Hill,/players/H/HillJo02.htm,0,0,0,0,1,1,12,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Michael Hoomanawanui,/players/H/HoomMi00.htm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Ingram,/players/I/IngrMa01.htm,2,2,33,0,1,1,6,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvin Kamara,/players/K/KamaAl00.htm,1,1,6,0,0,0,0,0,2,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommylee Lewis,/players/L/LewiTo00.htm,1,1,4,0,0,0,0,0,0,0,0,0,1,1,26,1,0,0,0,0,0,0,0,0
Willie Snead,/players/S/SneaWi00.htm,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Thomas,/players/T/ThomMi05.htm,6,5,43,0,1,1,10,0,5,2,7,1,1,1,22,0,0,0,0,0,1,1,35,0
Taylor Gabriel,/players/G/GabrTa00.htm,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin Hall,/players/H/HallMa02.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Austin Hooper,/players/H/HoopAu00.htm,2,1,12,0,1,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julio Jones,/players/J/JoneJu02.htm,3,1,19,0,2,1,14,0,2,2,44,0,4,1,21,0,0,0,0,0,0,0,0,0
Ty Sambrailo,/players/S/SambTy00.htm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Sanu,/players/S/SanuMo00.htm,2,1,6,0,4,3,51,1,2,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Levine Toilolo,/players/T/ToilLe00.htm,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
