player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Ameer Abdullah,/players/A/AbduAm00.htm,1,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eric Ebron,/players/E/EbroEr00.htm,0,0,0,0,1,0,0,0,5,3,21,0,0,0,0,0,1,1,29,0,1,1,33,1
Kenny Golladay,/players/G/GollKe00.htm,0,0,0,0,3,2,13,0,4,2,15,0,0,0,0,0,1,0,0,0,0,0,0,0
Marvin Jones,/players/J/JoneMa02.htm,1,0,0,0,1,1,14,0,1,1,5,0,1,1,31,0,0,0,0,0,1,0,0,0
Theo Riddick,/players/R/RiddTh00.htm,1,1,8,0,1,1,1,0,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Roberts,/players/R/RobeMi01.htm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Tate,/players/T/TateGo00.htm,1,1,14,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Giovani Bernard,/players/B/BernGi00.htm,3,3,14,0,2,2,15,0,2,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Boyd,/players/B/BoydTy00.htm,2,2,14,0,0,0,0,0,3,3,25,0,0,0,0,0,0,0,0,0,1,0,0,0
A.J. Green,/players/G/GreeA.00.htm,6,5,75,0,0,0,0,0,1,1,6,0,2,0,0,0,0,0,0,0,1,0,0,0
Brian Hill,/players/H/HillBr02.htm,0,0,0,0,0,0,0,0,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Kroft,/players/K/KrofTy00.htm,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brandon LaFell,/players/L/LaFeBr00.htm,3,1,-2,0,1,1,-3,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Malone,/players/M/MaloJo00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Joe Mixon,/players/M/MixoJo00.htm,0,0,0,0,2,1,10,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Uzomah,/players/U/UzomC.00.htm,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
