player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Brandon Coleman,/players/C/ColeBr00.htm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ted Ginn,/players/G/GinnTe00.htm,3,2,10,0,0,0,0,0,1,0,0,0,1,1,23,0,1,0,0,0,0,0,0,0
Garrett Griffin,/players/G/GrifGa00.htm,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Hill,/players/H/HillJo02.htm,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mark Ingram,/players/I/IngrMa01.htm,1,1,6,0,0,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvin Kamara,/players/K/KamaAl00.htm,1,1,10,0,3,3,28,0,2,1,6,0,0,0,0,0,0,0,0,0,1,1,40,0
Zach Line,/players/L/LineZa01.htm,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Michael Thomas,/players/T/ThomMi05.htm,4,3,23,0,0,0,0,0,3,2,28,0,0,0,0,0,0,0,0,0,1,1,43,0
Peyton Barber,/players/B/BarbPe01.htm,2,0,0,0,1,1,9,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Brate,/players/B/BratCa00.htm,0,0,0,0,2,1,12,0,3,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Cross,/players/C/CrosAl00.htm,0,0,0,0,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Evans,/players/E/EvanMi00.htm,1,1,9,0,2,2,21,0,4,1,9,0,4,1,16,0,1,0,0,0,1,0,0,0
Chris Godwin,/players/G/GodwCh00.htm,2,2,36,0,1,0,0,0,5,4,36,0,2,0,0,0,0,0,0,0,2,1,39,1
Adam Humphries,/players/H/HumpAd00.htm,1,1,12,0,2,1,10,0,6,4,37,0,1,1,43,0,0,0,0,0,1,0,0,0
Freddie Martino,/players/M/MartFr00.htm,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacquizz Rodgers,/players/R/RodgJa00.htm,0,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Sims,/players/S/SimsCh00.htm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
