player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Le'Veon Bell,/players/B/BellLe00.htm,0,0,0,0,3,3,27,0,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Brown,/players/B/BrowAn04.htm,3,2,16,0,3,2,18,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Martavis Bryant,/players/B/BryaMa00.htm,0,0,0,0,1,1,24,0,1,1,5,0,0,0,0,0,1,0,0,0,2,1,19,0
Justin Hunter,/players/H/HuntJu00.htm,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jesse James,/players/J/JameJe00.htm,0,0,0,0,1,1,18,0,2,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0
Vance McDonald,/players/M/McDoVa00.htm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JuJu Smith-Schuster,/players/S/SmitJu00.htm,0,0,0,0,2,1,11,1,1,1,19,0,0,0,0,0,1,1,17,0,0,0,0,0
Javorius Allen,/players/A/AlleJa01.htm,2,2,15,0,1,1,6,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Boyle,/players/B/BoylNi00.htm,0,0,0,0,3,3,16,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Campanaro,/players/C/CampMi02.htm,0,0,0,0,5,3,23,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Collins,/players/C/CollAl00.htm,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Maclin,/players/M/MaclJe00.htm,0,0,0,0,4,1,7,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Matthews,/players/M/MattCh00.htm,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breshad Perriman,/players/P/PerrBr02.htm,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Mike Wallace,/players/W/WallMi00.htm,3,2,12,0,4,3,27,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,16,1
Ben Watson,/players/W/WatsBe00.htm,1,1,5,0,5,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
