player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Giovani Bernard,/players/B/BernGi00.htm,2,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Core,/players/C/CoreCo00.htm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alex Erickson,/players/E/EricAl01.htm,0,0,0,0,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Green,/players/G/GreeA.00.htm,1,1,10,0,1,1,15,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,16,0
Tyler Kroft,/players/K/KrofTy00.htm,1,1,1,1,1,1,10,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon LaFell,/players/L/LaFeBr00.htm,3,2,18,0,1,1,6,1,2,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0
Josh Malone,/players/M/MaloJo00.htm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Mixon,/players/M/MixoJo00.htm,1,1,8,0,1,1,6,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Uzomah,/players/U/UzomC.00.htm,1,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le'Veon Bell,/players/B/BellLe00.htm,0,0,0,0,2,2,65,0,1,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Brown,/players/B/BrowAn04.htm,2,1,7,1,1,1,16,0,2,1,19,0,2,1,23,0,0,0,0,0,3,0,0,0
Martavis Bryant,/players/B/BryaMa00.htm,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Xavier Grimble,/players/G/GrimXa00.htm,0,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrius Heyward-Bey,/players/H/HeywDa00.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,44,0
Vance McDonald,/players/M/McDoVa00.htm,0,0,0,0,1,1,9,0,1,0,0,0,0,0,0,0,1,1,28,0,0,0,0,0
Eli Rogers,/players/R/RogeEl00.htm,1,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JuJu Smith-Schuster,/players/S/SmitJu00.htm,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31,1,1,0,0,0
