player_name,player_link,short_l__tgt,short_l__ctch,short_l__yds,short_l__td,short_mid__tgt,short_mid__ctch,short_mid__yds,short_mid__td,short_r__tgt,short_r__ctch,short_r__yds,short_r__td,deep_l__tgt,deep_l__ctch,deep_l__yds,deep_l__td,deep_mid__tgt,deep_mid__ctch,deep_mid__yds,deep_mid__td,deep_r__tgt,deep_r__ctch,deep_r__yds,deep_r__td
Giovani Bernard,/players/B/BernGi00.htm,1,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Erickson,/players/E/EricAl01.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A.J. Green,/players/G/GreeA.00.htm,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0
Tyler Kroft,/players/K/KrofTy00.htm,0,0,0,0,0,0,0,0,1,1,20,0,0,0,0,0,1,1,59,0,0,0,0,0
Brandon LaFell,/players/L/LaFeBr00.htm,0,0,0,0,0,0,0,0,2,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Malone,/players/M/MaloJo00.htm,0,0,0,0,2,1,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Joe Mixon,/players/M/MixoJo00.htm,1,1,5,0,2,1,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Uzomah,/players/U/UzomC.00.htm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Bohanon,/players/B/BohaTo00.htm,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Keelan Cole,/players/C/ColeKe00.htm,0,0,0,0,3,2,40,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Hurns,/players/H/HurnAl01.htm,1,1,9,0,0,0,0,0,2,2,22,0,0,0,0,0,0,0,0,0,1,0,0,0
Chris Ivory,/players/I/IvorCh00.htm,0,0,0,0,3,2,5,0,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0
Marqise Lee,/players/L/LeexMa00.htm,5,4,18,1,2,2,30,0,1,1,8,0,1,0,0,0,2,1,19,0,1,0,0,0
Marcedes Lewis,/players/L/LewiMa00.htm,2,1,4,0,0,0,0,0,2,1,8,0,1,0,0,0,0,0,0,0,1,1,37,0
James O'Shaughnessy,/players/O/O'ShJa00.htm,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. Yeldon,/players/Y/YeldT.00.htm,0,0,0,0,3,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
